publication_uniqueID,articletype,count_authors,Publication Date,Category Normalized Citation Impact
Pub75558,Article,201,2012,274.0331
Pub51709,Article,2,2010,184.1615
Pub51645,Review,2,2000,28.2579
Pub63444,Review,201,2002,39.6111
Pub09001,Article,2,2008,149.8381
Pub31983,Article,1,2000,96.7475
Pub81745,Article,201,2012,147.7161
Pub41115,Article,53,2010,123.5317
Pub71381,Review,201,2007,34.1164
Pub40330,Article,3,1999,44.8801
Pub48806,Article,4,1998,44.242
Pub53887,Review,2,2001,16.7098
Pub03485,Article,5,1997,36.325
Pub11203,Article,8,1998,34.5489
Pub80845,Editorial Material,6,1999,153.1693
Pub32320,Article,42,2011,105.5015
Pub45670,Article,3,2015,425.8626
Pub55103,Article,32,2006,34.9344
Pub34307,Article,11,2013,87.7452
Pub90963,Article,12,2011,62.2161
Pub87760,Letter,4,1996,328.4947
Pub80933,Article,3,2002,32.2828
Pub90060,Article,4,1997,23.6784
Pub83927,Review,174,2004,15.102
Pub01975,Article,5,2003,79.5637
Pub90325,Review,2,2007,15.7409
Pub33011,Article,7,2002,24.8294
Pub86387,Article,123,2002,22.9737
Pub48447,Review,2,1994,11.1468
Pub85670,Article,5,2003,22.711
Pub25061,Review,201,2004,11.5584
Pub69012,Article,56,2010,48.937
Pub30841,Article,12,2009,36.9066
Pub01898,Article,8,2001,21.6798
Pub21510,Article,14,2015,224.283
Pub13095,Article,4,2005,31.7975
Pub39048,Article,7,2003,17.2604
Pub09630,Review,1,1996,13.607
Pub21336,Review,67,2005,8.0013
Pub53458,Article,9,1996,45.6024
Pub00907,Review,201,2006,11.0159
Pub79611,Article,201,2015,251.7052
Pub46687,Article,18,2013,46.0991
Pub44899,Article,11,2012,57.1435
Pub78633,Article,4,1998,12.6706
Pub07023,Review,2,1998,7.7137
Pub76783,Article,6,1998,15.6278
Pub54344,Article,4,2008,29.9122
Pub78787,Article,3,2002,17.7747
Pub86611,Article,2,2000,16.0499
Pub06258,Article,5,2004,11.2547
Pub91101,Article,6,2006,19.1414
Pub63731,Article,5,1996,14.3725
Pub63429,Article,5,2000,13.9492
Pub19804,Article,13,2001,13.6324
Pub13257,Article,6,2001,13.7776
Pub81959,Article,54,2012,40.6623
Pub45340,Article,1,1999,20.5721
Pub55348,Article,7,1995,14.2735
Pub78568,Article,10,1998,13.3638
Pub99947,Article,11,2004,26.0087
Pub74491,Article,172,2013,54.5729
Pub96816,Article,4,2004,21.3987
Pub28175,Article,5,2000,10.3106
Pub07009,Article,5,2005,12.9113
Pub66881,Article,4,1998,15.4406
Pub87125,Article,3,2006,24.7777
Pub43090,Article,12,2011,45.2405
Pub70230,Article,6,1992,30.1135
Pub66074,Article,4,1999,12.0279
Pub33396,Article,2,2000,18.4912
Pub11511,Article,23,2007,15.3167
Pub97848,Article,41,2013,59.5584
Pub40182,Article,4,1998,11.6658
Pub91232,Article,8,1999,11.2361
Pub92862,Article,7,1996,11.0011
Pub64609,Article,2,1997,9.5446
Pub23992,Article,3,2004,14.2044
Pub29000,Article,6,2003,15.5183
Pub90868,Article,11,2009,43.2984
Pub49228,Software Review,10,2012,2.7449
Pub34528,Article,5,2000,9.6901
Pub61169,Article,21,2000,8.832
Pub78369,Article,5,1997,10.2558
Pub29207,Article,6,2006,14.5467
Pub74268,Article,5,2009,30.994
Pub30798,Article,128,2015,124.723
Pub80516,Article,3,1994,29.509
Pub13583,Article,57,2012,22.121
Pub40318,Article,190,2008,18.7126
Pub37088,Article,5,2008,28.4656
Pub55310,Article,55,2013,23.7383
Pub25639,Article,4,1995,10.2288
Pub26934,Article,4,1998,9.0271
Pub39056,Article,4,2008,18.5658
Pub11006,Article,7,1997,13.2794
Pub46835,Article,35,2002,10.8887
Pub76826,Article,40,2010,18.3195
Pub02776,Article,201,2006,14.6955
Pub22383,Article,8,1996,9.6533
Pub85549,Software Review,2,2009,1.6954
Pub83777,Article,4,2003,11.335
Pub58975,Review,4,2009,7.5847
Pub53288,Article,41,2011,22.2005
Pub72910,Article,12,2002,10.72
Pub56750,Article,13,2007,10.6918
Pub15807,Article,3,2001,15.7629
Pub98791,Article,2,2005,19.1629
Pub16989,Article,6,2005,20.1788
